City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
chuy,-33.6971,-53.4616,70.09,96.0,2.0,6.24,UY,1611453893.0
vaini,-21.2,-175.2,78.8,94.0,75.0,8.05,TO,1611453893.0
dikson,73.5069,80.5464,-16.96,90.0,69.0,7.07,RU,1611453893.0
provideniya,64.3833,-173.3,7.03,84.0,1.0,2.01,RU,1611453893.0
yellowknife,62.456,-114.3525,-24.0,75.0,1.0,3.44,CA,1611453812.0
souillac,-20.5167,57.5167,75.2,94.0,40.0,2.3,MU,1611453893.0
rio gallegos,-51.6226,-69.2181,62.6,34.0,0.0,6.91,AR,1611453893.0
bereda,43.2686,-7.5406,48.99,100.0,99.0,8.99,ES,1611453893.0
deputatskiy,69.3,139.9,-35.32,85.0,99.0,2.21,RU,1611453894.0
rikitea,-23.1203,-134.9692,79.52,63.0,15.0,6.58,PF,1611453894.0
nanortalik,60.1432,-45.2371,22.35,89.0,0.0,10.69,GL,1611453894.0
camana,-16.6228,-72.7111,70.97,75.0,42.0,5.53,PE,1611453894.0
mataura,-46.1927,168.8643,57.99,83.0,98.0,21.99,NZ,1611453894.0
saint anthony,45.0205,-93.218,18.0,79.0,90.0,9.22,US,1611453894.0
chokurdakh,70.6333,147.9167,-35.97,83.0,100.0,7.76,RU,1611453894.0
salalah,17.0151,54.0924,68.0,34.0,0.0,14.97,OM,1611453894.0
port hardy,50.6996,-127.4199,39.2,81.0,90.0,4.61,CA,1611453775.0
hilo,19.7297,-155.09,78.8,61.0,75.0,9.22,US,1611453890.0
wynyard,-41.0,145.7167,73.99,43.0,100.0,8.99,AU,1611453894.0
norman wells,65.282,-126.8329,-14.8,76.0,75.0,4.61,CA,1611453894.0
butaritari,3.0707,172.7902,80.1,78.0,61.0,9.15,KI,1611453894.0
komsomolskiy,40.4272,71.7189,19.4,73.0,100.0,2.3,UZ,1611453894.0
okha,53.5739,142.9478,-5.71,86.0,100.0,10.94,RU,1611453894.0
saint-jean-de-maurienne,45.1667,6.5833,26.01,90.0,100.0,3.94,FR,1611453894.0
east london,-33.0153,27.9116,71.35,70.0,74.0,23.22,ZA,1611453895.0
hermanus,-34.4187,19.2345,57.0,95.0,8.0,8.68,ZA,1611453895.0
ribeira grande,38.5167,-28.7,62.65,87.0,80.0,26.87,PT,1611453895.0
new norfolk,-42.7826,147.0587,84.0,25.0,100.0,1.99,AU,1611453895.0
lagoa,39.05,-27.9833,61.41,90.0,100.0,30.27,PT,1611453895.0
kwekwe,-18.9281,29.8149,61.83,97.0,100.0,2.73,ZW,1611453895.0
conde,-7.2597,-34.9075,77.0,88.0,20.0,5.75,BR,1611453895.0
punta arenas,-53.15,-70.9167,51.8,62.0,0.0,23.02,CL,1611453895.0
payo,-3.7508,103.6372,78.71,85.0,100.0,3.44,ID,1611453895.0
shenjiamen,29.9576,122.298,44.19,88.0,89.0,12.59,CN,1611453895.0
kisangani,0.5167,25.2,72.21,76.0,100.0,2.13,CD,1611453895.0
khatanga,71.9667,102.5,-25.87,85.0,100.0,11.18,RU,1611453895.0
tuktoyaktuk,69.4541,-133.0374,-22.0,76.0,1.0,16.11,CA,1611453895.0
asau,46.4333,26.4,37.0,62.0,100.0,4.34,RO,1611453895.0
faya,18.3851,42.4509,50.0,46.0,0.0,2.57,SA,1611453895.0
nha trang,12.25,109.1833,77.0,65.0,40.0,9.22,VN,1611453895.0
jamestown,42.097,-79.2353,21.0,86.0,90.0,9.22,US,1611453725.0
turukhansk,65.8167,87.9833,-38.43,76.0,9.0,6.02,RU,1611453896.0
kodiak,57.79,-152.4072,39.2,56.0,40.0,14.97,US,1611453896.0
belmonte,-15.8631,-38.8828,73.4,88.0,40.0,4.61,BR,1611453896.0
busselton,-33.65,115.3333,71.01,63.0,53.0,5.01,AU,1611453849.0
soc trang,9.6033,105.98,78.8,89.0,40.0,6.91,VN,1611453896.0
luderitz,-26.6481,15.1594,70.9,49.0,100.0,27.09,NA,1611453896.0
davila,18.4726,120.5763,78.8,78.0,75.0,13.8,PH,1611453896.0
port alfred,-33.5906,26.891,64.99,95.0,71.0,4.0,ZA,1611453896.0
saskylakh,71.9167,114.0833,-34.65,80.0,25.0,6.15,RU,1611453896.0
bredasdorp,-34.5322,20.0403,59.0,88.0,57.0,6.91,ZA,1611453896.0
poya,-21.35,165.15,81.3,75.0,100.0,9.98,NC,1611453896.0
fortuna,40.5982,-124.1573,48.0,81.0,90.0,8.05,US,1611453708.0
leningradskiy,69.3833,178.4167,-16.42,80.0,0.0,2.98,RU,1611453896.0
atuona,-9.8,-139.0333,78.21,80.0,4.0,16.17,PF,1611453896.0
upernavik,72.7868,-56.1549,20.35,82.0,100.0,7.2,GL,1611453896.0
hobart,-42.8794,147.3294,84.0,56.0,75.0,11.5,AU,1611453852.0
cape town,-33.9258,18.4232,64.99,67.0,20.0,16.11,ZA,1611453670.0
carndonagh,55.25,-7.2667,31.12,95.0,100.0,4.0,IE,1611453896.0
dryden,49.7833,-92.7503,17.6,86.0,90.0,13.8,CA,1611453896.0
barahona,18.2085,-71.1008,75.47,80.0,38.0,3.67,DO,1611453897.0
visnes,59.3556,5.2242,34.0,93.0,75.0,8.05,NO,1611453897.0
coquimbo,-29.9533,-71.3436,62.6,82.0,20.0,5.75,CL,1611453696.0
henties bay,-22.116,14.2845,71.01,89.0,100.0,3.27,NA,1611453897.0
ponta do sol,32.6667,-17.1,59.0,77.0,100.0,1.99,PT,1611453897.0
eureka,40.8021,-124.1637,48.0,78.0,16.0,7.0,US,1611453811.0
velten,52.6833,13.1833,35.01,92.0,100.0,4.43,DE,1611453897.0
honiara,-9.4333,159.95,86.68,56.0,100.0,6.38,SB,1611453897.0
bilibino,68.0546,166.4372,-32.08,81.0,62.0,1.86,RU,1611453897.0
airai,-8.9266,125.4092,70.47,84.0,89.0,3.67,TL,1611453897.0
belaya gora,68.5333,146.4167,-31.58,84.0,100.0,5.01,RU,1611453897.0
antalaha,-14.9003,50.2788,75.7,87.0,100.0,4.79,MG,1611453897.0
san cristobal,7.7669,-72.225,66.72,76.0,92.0,2.28,VE,1611453796.0
ushuaia,-54.8,-68.3,57.2,44.0,40.0,18.41,AR,1611453763.0
mehamn,71.0357,27.8492,19.69,93.0,100.0,23.62,NO,1611453897.0
narsaq,60.9167,-46.05,28.4,29.0,0.0,23.02,GL,1611453897.0
bluff,-46.6,168.3333,57.99,83.0,87.0,21.99,NZ,1611453897.0
ladario,-19.0047,-57.6017,74.55,93.0,100.0,1.95,BR,1611453671.0
codrington,-38.2667,141.9667,96.24,19.0,100.0,7.34,AU,1611453898.0
sakakah,29.9697,40.2064,39.2,41.0,0.0,3.44,SA,1611453898.0
mahebourg,-20.4081,57.7,75.2,94.0,40.0,2.3,MU,1611453898.0
chicama,-7.8447,-79.1469,69.8,88.0,20.0,10.36,PE,1611453898.0
qaanaaq,77.484,-69.3632,14.72,78.0,91.0,0.56,GL,1611453898.0
albany,42.6001,-73.9662,16.0,57.0,0.0,3.0,US,1611453690.0
kamien pomorski,53.9685,14.7726,30.99,100.0,90.0,3.44,PL,1611453898.0
miles city,46.4083,-105.8406,17.6,67.0,1.0,4.61,US,1611453898.0
west wendover,40.7391,-114.0733,30.2,93.0,90.0,4.61,US,1611453789.0
zahesi,41.8246,44.7536,19.4,79.0,0.0,2.01,GE,1611453898.0
avarua,-21.2078,-159.775,86.0,66.0,75.0,11.5,CK,1611453898.0
portland,45.5234,-122.6762,43.0,61.0,90.0,3.13,US,1611453738.0
arraial do cabo,-22.9661,-42.0278,75.58,85.0,97.0,16.08,BR,1611453898.0
lota,-37.0833,-73.1667,59.0,94.0,90.0,8.05,CL,1611453898.0
bathsheba,13.2167,-59.5167,77.0,69.0,20.0,13.8,BB,1611453898.0
bengkulu,-3.8004,102.2655,83.19,67.0,100.0,5.08,ID,1611453699.0
guerrero negro,27.9769,-114.0611,58.69,68.0,49.0,10.38,MX,1611453898.0
kruisfontein,-34.0033,24.7314,69.01,82.0,100.0,7.0,ZA,1611453898.0
tanout,14.9709,8.8879,57.76,29.0,0.0,12.64,NE,1611453899.0
najran,17.4924,44.1277,46.4,36.0,0.0,0.65,SA,1611453899.0
nueva gerona,21.8833,-82.8,72.48,77.0,0.0,5.44,CU,1611453899.0
corinto,37.9407,22.9573,50.0,87.0,40.0,4.61,GR,1611453899.0
tiksi,71.6872,128.8694,-41.44,79.0,53.0,4.83,RU,1611453899.0
namibe,-15.1961,12.1522,74.05,77.0,100.0,5.93,AO,1611453899.0
alpena,45.0617,-83.4327,17.01,86.0,1.0,6.2,US,1611453616.0
san patricio,28.017,-97.5169,68.0,100.0,90.0,8.05,US,1611453899.0
inuvik,68.3499,-133.7218,-16.6,76.0,0.0,5.75,CA,1611453899.0
lebu,-37.6167,-73.65,58.26,86.0,0.0,18.19,CL,1611453899.0
tura,25.5198,90.2201,61.25,58.0,100.0,2.48,IN,1611453664.0
alofi,-19.0595,-169.9187,87.8,62.0,44.0,8.05,NU,1611453899.0
mataram,-8.5833,116.1167,84.2,79.0,75.0,5.75,ID,1611453899.0
thompson,55.7435,-97.8558,-13.0,70.0,90.0,10.36,CA,1611453837.0
miri,4.4148,114.0089,78.8,94.0,20.0,2.3,MY,1611453899.0
sisimiut,66.9395,-53.6735,15.93,79.0,0.0,5.53,GL,1611453899.0
victoria,22.2855,114.1577,64.0,84.0,18.0,4.0,HK,1611453860.0
ostrovnoy,68.0531,39.5131,0.64,91.0,95.0,11.68,RU,1611453899.0
saint-francois,46.4154,3.9054,33.8,80.0,40.0,5.75,FR,1611453899.0
melsungen,51.1333,9.55,35.01,93.0,100.0,6.91,DE,1611453900.0
lasa,46.6166,10.7002,28.0,100.0,6.0,2.75,IT,1611453900.0
pijijiapan,15.7011,-93.23,75.74,76.0,49.0,2.73,MX,1611453631.0
borba,-4.3878,-59.5939,76.51,85.0,11.0,1.61,BR,1611453900.0
viedma,-40.8135,-62.9967,68.22,60.0,29.0,22.86,AR,1611453900.0
waterloo,43.4668,-80.5164,19.0,79.0,90.0,5.75,CA,1611453839.0
carnarvon,-24.8667,113.6333,80.6,50.0,75.0,13.8,AU,1611453900.0
cedar city,37.6775,-113.0619,33.8,60.0,40.0,3.53,US,1611453649.0
aljezur,37.3191,-8.8033,59.0,100.0,100.0,4.0,PT,1611453900.0
san luis,-33.295,-66.3356,79.48,34.0,0.0,7.67,AR,1611453900.0
cabo san lucas,22.8909,-109.9124,66.0,68.0,20.0,11.5,MX,1611453791.0
port hedland,-20.3167,118.5667,96.8,30.0,89.0,16.11,AU,1611453900.0
micheweni,-4.9667,39.8333,79.0,82.0,99.0,8.16,TZ,1611453900.0
mar del plata,-38.0023,-57.5575,78.8,78.0,0.0,9.22,AR,1611453765.0
haines junction,60.7522,-137.5108,8.6,92.0,100.0,2.84,CA,1611453900.0
puerto ayora,-0.7393,-90.3518,75.99,94.0,28.0,4.0,EC,1611453900.0
kapaa,22.0752,-159.319,75.2,88.0,75.0,11.5,US,1611453900.0
cao bang,22.6667,106.25,67.91,58.0,1.0,5.28,VN,1611453900.0
panama city,8.9936,-79.5197,78.8,78.0,90.0,9.22,PA,1611453790.0
pemangkat,1.1667,108.9667,77.83,85.0,100.0,5.17,ID,1611453901.0
andenes,69.3143,16.1194,21.2,73.0,75.0,11.5,NO,1611453901.0
bom jesus,-9.0744,-44.3586,72.01,67.0,21.0,1.34,BR,1611453808.0
praya,14.9215,-23.5087,69.8,78.0,0.0,17.27,CV,1611453901.0
bialogard,54.007,15.9875,28.99,96.0,100.0,2.26,PL,1611453630.0
nikolskoye,59.7035,30.7861,33.8,93.0,90.0,8.95,RU,1611453901.0
dana point,33.467,-117.6981,48.99,92.0,100.0,1.01,US,1611453901.0
evans,33.5337,-82.1307,50.0,37.0,1.0,5.75,US,1611453901.0
west plains,36.7281,-91.8524,37.99,44.0,90.0,8.05,US,1611453701.0
ahipara,-35.1667,173.1667,70.79,66.0,6.0,10.96,NZ,1611453903.0
omboue,-1.5746,9.2618,76.86,85.0,95.0,3.85,GA,1611453903.0
san lorenzo,-25.3333,-57.5333,77.0,88.0,0.0,4.61,PY,1611453903.0
cabatuan,10.8794,122.486,82.47,72.0,98.0,5.86,PH,1611453903.0
inhambane,-23.865,35.3833,80.15,85.0,100.0,13.11,MZ,1611453903.0
egvekinot,66.3167,-179.1667,-10.46,85.0,0.0,2.33,RU,1611453903.0
hithadhoo,-0.6,73.0833,81.25,72.0,87.0,4.25,MV,1611453904.0
tonj,7.2737,28.6822,72.03,31.0,50.0,5.01,SS,1611453904.0
saint george,37.1041,-113.5841,46.4,46.0,40.0,5.75,US,1611453904.0
puerto escondido,15.85,-97.0667,80.6,74.0,40.0,3.44,MX,1611453904.0
samarai,-10.6167,150.6667,82.63,75.0,100.0,6.98,PG,1611453904.0
palana,59.1167,159.9667,-1.19,96.0,99.0,1.57,RU,1611453904.0
miguel hidalgo,19.4225,-99.2028,69.8,30.0,40.0,9.22,MX,1611453608.0
xining,36.6167,101.7667,24.82,66.0,100.0,0.89,CN,1611453904.0
staryy oskol,51.2967,37.8417,34.59,97.0,100.0,6.8,RU,1611453615.0
saint-philippe,-21.3585,55.7679,78.8,69.0,20.0,4.61,RE,1611453905.0
ixtapa,20.7,-105.2,73.4,83.0,1.0,6.91,MX,1611453726.0
letterkenny,54.95,-7.7333,30.47,96.0,100.0,2.93,IE,1611453905.0
nouadhibou,20.931,-17.0347,64.4,82.0,0.0,13.8,MR,1611453905.0
margate,51.3813,1.3862,35.01,81.0,0.0,1.01,GB,1611453905.0
kavieng,-2.5744,150.7967,85.64,63.0,88.0,4.88,PG,1611453905.0
kristiinankaupunki,62.2743,21.376,32.72,96.0,100.0,9.15,FI,1611453905.0
alyangula,-13.8483,136.4192,84.2,84.0,75.0,2.3,AU,1611453905.0
sitka,57.0531,-135.33,37.4,87.0,90.0,9.22,US,1611453905.0
havelock,34.8791,-76.9013,39.0,52.0,1.0,4.61,US,1611453905.0
barrow,71.2906,-156.7887,1.4,85.0,40.0,24.16,US,1611453905.0
bethel,41.3712,-73.414,21.99,42.0,1.0,6.91,US,1611453905.0
dalmatovo,56.26,62.9362,-19.98,86.0,100.0,8.16,RU,1611453905.0
north bend,43.4065,-124.2243,44.6,76.0,90.0,3.44,US,1611453906.0
chico,39.7285,-121.8375,54.0,46.0,20.0,9.22,US,1611453906.0
sehwan,26.4279,67.863,46.4,87.0,0.0,4.61,PK,1611453906.0
vila velha,-20.3297,-40.2925,77.0,88.0,20.0,3.44,BR,1611453627.0
soma,39.1855,27.6094,55.4,76.0,75.0,4.61,TR,1611453906.0
klaksvik,62.2266,-6.589,33.8,93.0,20.0,2.3,FO,1611453906.0
ketchikan,55.3422,-131.6461,33.8,100.0,90.0,6.91,US,1611453906.0
cockburn town,21.4612,-71.1419,75.2,78.0,40.0,4.61,TC,1611453906.0
maniitsoq,65.4167,-52.9,17.46,78.0,0.0,5.06,GL,1611453906.0
evensk,61.95,159.2333,-11.15,84.0,100.0,7.81,RU,1611453906.0
arraias,-12.9288,-46.9437,73.44,67.0,67.0,3.69,BR,1611453906.0
sarankhola,22.3082,89.7897,64.81,53.0,29.0,2.46,BD,1611453633.0
dunedin,-45.8742,170.5036,67.24,48.0,58.0,15.55,NZ,1611453907.0
bonavista,48.6499,-53.1147,26.01,79.0,90.0,8.05,CA,1611453907.0
zhangye,38.9342,100.4517,23.27,79.0,40.0,4.79,CN,1611453907.0
faanui,-16.4833,-151.75,81.18,72.0,0.0,12.39,PF,1611453907.0
leshukonskoye,64.8989,45.7622,1.38,93.0,99.0,8.12,RU,1611453907.0
severo-kurilsk,50.6789,156.125,21.18,95.0,98.0,31.32,RU,1611453907.0
carlos chagas,-17.7031,-40.7664,68.63,93.0,44.0,3.27,BR,1611453907.0
vila franca do campo,37.7167,-25.4333,62.01,100.0,75.0,19.57,PT,1611453907.0
khani,41.9563,42.9566,41.0,38.0,0.0,17.27,GE,1611453907.0
panaba,21.2833,-88.2667,70.74,89.0,19.0,8.46,MX,1611453907.0
aligudarz,33.4006,49.6949,23.94,68.0,0.0,3.98,IR,1611453907.0
frunze,48.6686,38.7544,36.73,85.0,100.0,11.61,UA,1611453907.0
sao joao da barra,-21.6403,-41.0511,75.43,85.0,46.0,8.79,BR,1611453908.0
arinos,-15.9169,-46.1056,72.48,70.0,68.0,1.95,BR,1611453908.0
qasigiannguit,68.8193,-51.1922,15.8,48.0,39.0,17.27,GL,1611453908.0
porto tolle,44.9497,12.3245,44.01,89.0,13.0,6.69,IT,1611453908.0
mackay,-21.15,149.2,86.0,58.0,0.0,14.97,AU,1611453807.0
palmaner,13.2,78.75,62.96,90.0,66.0,1.79,IN,1611453908.0
georgetown,5.4112,100.3354,82.4,83.0,20.0,3.44,MY,1611453908.0
pevek,69.7008,170.3133,-15.65,89.0,100.0,5.97,RU,1611453908.0
flin flon,54.7682,-101.865,-18.85,87.0,100.0,7.18,CA,1611453908.0
el tarra,8.5756,-73.0949,74.43,80.0,100.0,1.19,CO,1611453908.0
ilulissat,69.2167,-51.1,15.8,48.0,33.0,17.27,GL,1611453908.0
urumqi,43.801,87.6005,10.4,92.0,75.0,6.71,CN,1611453728.0
xichang,27.8964,102.2634,47.82,65.0,97.0,1.63,CN,1611453908.0
kirakira,-10.4544,161.9205,85.06,61.0,100.0,7.11,SB,1611453908.0
port elizabeth,-33.918,25.5701,68.0,83.0,20.0,21.85,ZA,1611453903.0
tulum,20.2167,-87.4667,78.01,88.0,75.0,3.44,MX,1611453908.0
broken hill,-31.95,141.4333,100.4,12.0,100.0,16.11,AU,1611453909.0
sao filipe,14.8961,-24.4956,73.04,69.0,98.0,6.24,CV,1611453909.0
iqaluit,63.7506,-68.5145,6.8,78.0,1.0,21.85,CA,1611453909.0
yulara,-25.2406,130.9889,82.4,69.0,90.0,21.85,AU,1611453909.0
weston,26.1004,-80.3998,70.0,88.0,1.0,7.18,US,1611453674.0
les cayes,18.2,-73.75,74.03,84.0,5.0,5.03,HT,1611453909.0
synya,65.3718,58.0387,-10.98,86.0,100.0,3.83,RU,1611453909.0
presidente epitacio,-21.7633,-52.1156,75.06,84.0,100.0,4.52,BR,1611453790.0
katsuura,35.1333,140.3,41.0,93.0,75.0,23.02,JP,1611453909.0
siddipet,18.1,78.85,66.25,75.0,0.0,8.23,IN,1611453909.0
marzuq,14.4,46.4667,50.74,45.0,92.0,2.15,YE,1611453909.0
bambous virieux,-20.3428,57.7575,77.0,94.0,40.0,2.3,MU,1611453909.0
lebyazhye,55.2689,66.4947,-30.37,83.0,1.0,5.79,RU,1611453909.0
mao,39.8885,4.2658,57.2,77.0,0.0,19.57,ES,1611453909.0
kargasok,59.0556,80.8572,-51.99,76.0,56.0,5.93,RU,1611453910.0
nizwa,22.9333,57.5333,52.36,64.0,0.0,2.3,OM,1611453910.0
bismarck,46.8083,-100.7837,24.8,63.0,90.0,11.5,US,1611453664.0
nanakuli,21.3906,-158.1547,80.6,57.0,20.0,16.11,US,1611453910.0
sari,36.5633,53.0601,35.8,75.0,0.0,3.44,IR,1611453910.0
nata,8.3333,-80.5167,77.0,83.0,20.0,4.61,PA,1611453910.0
umm lajj,25.0213,37.2685,70.57,45.0,2.0,11.39,SA,1611453910.0
anadyr,64.75,177.4833,-18.0,69.0,0.0,6.71,RU,1611453910.0
marsa matruh,31.3525,27.2453,55.27,64.0,2.0,3.49,EG,1611453910.0
cruzeiro do sul,-29.5128,-51.9853,72.0,92.0,0.0,1.01,BR,1611453910.0
mayna,54.1135,47.6231,33.03,99.0,100.0,8.14,RU,1611453910.0
sola,-13.8833,167.55,82.65,72.0,99.0,8.5,VU,1611453910.0
mau,25.95,83.55,53.15,73.0,0.0,2.93,IN,1611453698.0
sawtell,-30.3833,153.1,82.99,57.0,0.0,18.41,AU,1611453911.0
muravlenko,63.7898,74.523,-46.34,77.0,7.0,7.78,RU,1611453911.0
colac,-38.3333,143.5833,82.0,54.0,100.0,2.68,AU,1611453911.0
aden,12.7794,45.0367,75.58,68.0,29.0,19.66,YE,1611453614.0
butte,39.6499,-121.5677,55.4,47.0,1.0,5.75,US,1611453911.0
korla,41.7597,86.1469,24.1,91.0,100.0,5.99,CN,1611453911.0
chalinze,-6.6378,38.354,71.06,96.0,100.0,3.29,TZ,1611453911.0
bandarbeyla,9.4942,50.8122,72.5,73.0,87.0,18.43,SO,1611453911.0
kaitangata,-46.2817,169.8464,62.01,69.0,86.0,18.01,NZ,1611453911.0
kirkenes,69.7271,30.0458,3.2,78.0,100.0,9.22,NO,1611453911.0
kutum,14.2,24.6667,54.23,37.0,12.0,5.86,SD,1611453911.0
pocone,-16.2567,-56.6228,75.54,86.0,98.0,2.55,BR,1611453911.0
havre-saint-pierre,50.2334,-63.5986,32.0,93.0,90.0,9.22,CA,1611453911.0
naze,28.3667,129.4833,66.2,77.0,75.0,11.5,JP,1611453911.0
niquelandia,-14.4739,-48.4597,71.53,79.0,68.0,3.29,BR,1611453683.0
castro,-24.7911,-50.0119,63.82,96.0,100.0,6.67,BR,1611453912.0
lorengau,-2.0226,147.2712,85.89,62.0,62.0,3.78,PG,1611453912.0
aquiraz,-3.9014,-38.3911,82.4,78.0,75.0,10.36,BR,1611453912.0
emerald,-23.5333,148.1667,87.01,47.0,75.0,6.91,AU,1611453912.0
lethem,3.3803,-59.7968,78.51,73.0,39.0,9.33,GY,1611453912.0
mount isa,-20.7333,139.5,93.2,38.0,16.0,11.5,AU,1611453912.0
myszkow,50.5752,19.3246,35.01,100.0,100.0,1.01,PL,1611453912.0
coihaique,-45.5752,-72.0662,55.4,47.0,0.0,2.3,CL,1611453912.0
torbay,47.6666,-52.7314,25.0,86.0,75.0,19.57,CA,1611453797.0
khor,47.8861,134.9464,8.69,93.0,91.0,8.57,RU,1611453912.0
tautira,-17.7333,-149.15,84.2,70.0,75.0,16.11,PF,1611453708.0
ust-nera,64.5667,143.2,-20.78,77.0,100.0,3.4,RU,1611453912.0
asfi,32.2994,-9.2372,55.72,73.0,96.0,8.66,MA,1611453912.0
bambanglipuro,-7.95,110.2833,81.95,72.0,99.0,3.11,ID,1611453913.0
brae,60.3964,-1.353,37.4,87.0,75.0,13.8,GB,1611453913.0
pouebo,-20.4,164.5667,80.78,77.0,93.0,19.8,NC,1611453913.0
owando,-0.4819,15.8999,73.13,85.0,100.0,3.69,CG,1611453913.0
limbang,4.75,115.0,80.6,83.0,75.0,3.44,MY,1611453913.0
lompoc,34.6391,-120.4579,48.2,81.0,1.0,5.75,US,1611453914.0
geraldton,-28.7667,114.6,78.8,50.0,19.0,11.5,AU,1611453865.0
quang ngai,15.1167,108.8,72.97,79.0,7.0,1.23,VN,1611453914.0
mwene-ditu,-7.0,23.45,65.77,100.0,100.0,2.48,CD,1611453914.0
cherskiy,68.75,161.3,-24.03,86.0,100.0,8.48,RU,1611453914.0
makokou,0.5738,12.8642,70.14,91.0,99.0,3.85,GA,1611453914.0
olafsvik,64.8945,-23.7142,29.01,91.0,100.0,37.96,IS,1611453915.0
te anau,-45.4167,167.7167,56.28,82.0,100.0,8.03,NZ,1611453915.0
grand gaube,-20.0064,57.6608,77.0,82.0,0.0,1.01,MU,1611453915.0
manbij,36.5281,37.9549,30.2,80.0,0.0,7.9,SY,1611453915.0
taonan,45.3333,122.7833,18.48,89.0,0.0,5.03,CN,1611453915.0
lithakia,37.7167,20.8333,48.2,87.0,0.0,5.75,GR,1611453915.0
rajaldesar,28.0333,74.4667,51.37,48.0,0.0,4.85,IN,1611453916.0
kayes,14.0,-11.0,68.9,19.0,0.0,5.19,ML,1611453729.0
la ronge,55.1001,-105.2842,-20.2,69.0,0.0,3.44,CA,1611453916.0
north myrtle beach,33.816,-78.68,42.01,65.0,1.0,5.75,US,1611453916.0
urubicha,-15.3833,-62.95,69.28,99.0,100.0,0.54,BO,1611453916.0
sechura,-5.5569,-80.8222,75.56,67.0,63.0,12.48,PE,1611453916.0
hofn,64.2539,-15.2082,32.94,87.0,100.0,24.25,IS,1611453916.0
sorong,-0.8833,131.25,84.02,69.0,88.0,4.74,ID,1611453754.0
kaohsiung,22.6163,120.3133,73.4,73.0,75.0,5.75,TW,1611453907.0
